name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13.073091, 121.388563",1/1/1990,89.7,71.3,78.3,100.5,71.3,80.7,70.3,77.21,0,,0,,,,,4.5,116.7,1012,65,7.8,,,,,1990-01-01T06:16:45,1990-01-01T17:38:54,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,98431099999
"13.073091, 121.388563",1/2/1990,83.6,72.8,78.8,90.2,72.8,81.8,71.9,79.57,0,,0,,,,,2.2,73.3,1011.7,56.7,11.3,,,,,1990-01-02T06:17:08,1990-01-02T17:39:28,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,98431099999
"13.073091, 121.388563",1/3/1990,80.3,74.6,76.7,84.9,74.6,77.3,72.9,88.18,0.12,,25,,,,,6.7,48.3,1013.6,100,8.1,,,,,1990-01-03T06:17:30,1990-01-03T17:40:01,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,98431099999
"13.073091, 121.388563",1/4/1990,88.1,72.6,78,92.8,72.6,78.6,70.2,77.91,0.79,,37.5,,,,,11.2,40,1014.3,86.3,8.4,,,,,1990-01-04T06:17:51,1990-01-04T17:40:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,98431099999
"13.073091, 121.388563",1/5/1990,82.5,73.5,77.8,86.5,73.5,79,70.1,77.67,0,,0,,,,,2.2,65,1014.4,74.3,9.2,,,,,1990-01-05T06:18:12,1990-01-05T17:41:10,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,98431099999
"13.073091, 121.388563",1/6/1990,80.9,76.7,78.2,85.9,76.7,78.9,73.4,85.21,0,,0,,,,,2.2,40,1014.2,98.6,7.8,,,,,1990-01-06T06:18:31,1990-01-06T17:41:44,0.37,Overcast,Cloudy skies throughout the day.,cloudy,98431099999
"13.073091, 121.388563",1/7/1990,81.6,76.2,78.2,86.5,76.2,79.6,72.6,82.97,0,,0,,,,,4.5,40,1016.1,98.8,8.9,,,,,1990-01-07T06:18:50,1990-01-07T17:42:18,0.41,Overcast,Cloudy skies throughout the day.,cloudy,98431099999
"13.073091, 121.388563",1/8/1990,80.7,74.4,77.2,85.4,74.4,77.9,73.1,87.11,0.12,,14.29,,,,,6.7,40,1014.9,94.3,9.6,,,,,1990-01-08T06:19:07,1990-01-08T17:42:52,0.45,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,98431099999
"13.073091, 121.388563",1/9/1990,80,74.9,76.8,80,74.9,76.8,73.7,90.22,0.24,,28.57,,,,,2.2,40,1013.6,95.7,8.9,,,,,1990-01-09T06:19:24,1990-01-09T17:43:26,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,98431099999
"13.073091, 121.388563",1/10/1990,84.3,75.5,78.9,94.6,75.5,82.1,74.9,87.7,0,,0,,,,,2.2,60,1012.4,62.9,9.9,,,,,1990-01-10T06:19:40,1990-01-10T17:44:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,98431099999
"13.073091, 121.388563",1/11/1990,84.3,77.1,79.9,91.1,77.1,82.5,74.7,84.6,0,,0,,,,,4.5,40,1013,88.6,10.2,,,,,1990-01-11T06:19:55,1990-01-11T17:44:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,98431099999
"13.073091, 121.388563",1/12/1990,84.3,74.4,78.4,92.7,74.4,81,74.4,87.93,0.16,,16.67,,,,,2.2,90,1013.7,66.7,10.5,,,,,1990-01-12T06:20:08,1990-01-12T17:45:08,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,98431099999
"13.073091, 121.388563",1/13/1990,85.2,75.3,79,91.8,75.3,80.4,73.2,83.08,0.06,,40,,,,,4.5,56.7,1012,48,10.8,,,,,1990-01-13T06:20:21,1990-01-13T17:45:41,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,98431099999
"13.073091, 121.388563",1/14/1990,84.5,75.3,79,90.2,75.3,81,72.2,80.48,0,,0,,,,,2.2,61.4,1012.5,53.8,10.5,,,,,1990-01-14T06:20:33,1990-01-14T17:46:15,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,98431099999
"13.073091, 121.388563",1/15/1990,83.9,76.4,79.3,89.4,76.4,81.1,72.1,79.23,0,,0,,,,,4.5,65,1011.4,61.7,10,,,,,1990-01-15T06:20:44,1990-01-15T17:46:48,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,98431099999
